corsid,state,site_name,site_code,Latitue,,,coordinates_of_sites_dms_lat,Longitude,,,coordinates_of_sites_dms_long,coordinates_of_sites_dms_elp_height,gdc_username,vendor_username
50001A001,Punjab,ABOHAR,ABOH,30,9,31.27533,30 9 31.27533168,74,11,4.0787,74 11 4.07870114,143.8095,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50002A001,Ladakh,ABRAN,ARAN,33,41,34.75442,33 41 34.754417859919,76,34,51.716261,76 34 51.7162608553751,3732.773192,Jammu & Kashmir and Ladakh Geo-spatial Directorate,Hexagon
50003A001,Maharashtra,ACHALPUR,APUR,21,17,17.07093,21 17 17.07093,77,30,42.48291,77 30 42.48291,322.5562,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50004A001,Gujarat,ADESAR,ADER,23,33,16.5345,23 33 16.534498434879,70,59,18.58874,70 59 18.5887395328967,-14.75355,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50005A001,Tripura,AGARTALA,AGAR,23,49,32.35529378,23 49 32.355293784,91,18,46.78857026,91 18 46.788570255,-21.592814,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50006A001,Tamilnadu,AGASTHASWEERAM,AGWM,8,10,49.36763,8 10 49.3676276473205,77,25,26.47765,77 25 26.4776474217595,-31.22584,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50007A001, Lakshdweep,AGATTI,AGAT,10,52,29.502231,10 52 29.5022313317308,72,11,56.449048,72 11 56.4490475477718,-77.82731,Kerla & Lakshdweep Wing,Hexagon
50008A001,Gujarat,AHWA,AHWA,20,45,12.10475,20 45 12.1047516338382,73,41,24.41094,73 41 24.4109390969462,446.40618,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50009A001,Mizoram,AIZAWL,AIZA,23,43,51.59946132,23 43 51.599461322,92,41,42.17038087,92 41 42.170380866,828.493305,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50010A001,Maharashtra,AJARA,AJRA,16,7,11.64399,16 7 11.64399,74,12,33.60437,74 12 33.60437,589.748,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50011A001,Madhya Pradesh,AJAYGARH,AJAU,24,54,37.72699,24 54 37.726991142015,80,15,6.10042,80 15 6.10041706546247,138.7725,Madhya Pradesh Geo-spatial Directorate,Trimble
50012A001,Maharashtra,AKALKOT,AKLT,17,23,33.62204,17 23 33.62204,75,58,34.67345,75 58 34.67345,374.4573,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50013A001,Uttarpradesh,AKBARPUR,AKBA,26,26,48.81534,26 26 48.8153435457825,82,33,35.23464,82 33 35.234640856776,25.1835,Uttar Pradesh Geo-spatial Directorate,Trimble
50014A001,Maharashtra,AKKALKUA,AKUA,21,33,3.54844,21 33 3.54844,74,1,6.89845,74 1 6.89845,69.2458,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50015A001,Maharashtra,AKLUJ TAL,ATAL,17,52,56.70868,17 52 56.70868,75,1,5.38078,75 1 5.38078,415.2365,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50016A001,Maharashtra,AKOLE,AKOE,19,25,58.27964,19 25 58.27964,73,57,36.69698,73 57 36.69698,644.909,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50017A001,Tamilnadu,ALANGUDI,ALAN,10,21,52.3875,10 21 52.3875035848417,78,58,50.10856,78 58 50.1085643929608,-6.11625,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50018A001,Karnataka,ALGUNDI,AGNI,16,15,28.83063,16 15 28.83063,75,25,34.11439,75 25 34.11439,449.6675,Karnataka Geo-spatial Directorate,Hexagon
50019A001,Uttarpradesh,ALIGANJ,ALIG,27,30,0.13551,27 30 0.135513184782504,79,9,44.50213,79 9 44.502132876776,100.8182,Uttar Pradesh Geo-spatial Directorate,Trimble
50020A001,Uttarpradesh,ALIGARH,ALGR,27,53,42.02832,27 53 42.0283150457825,78,3,41.50516,78 3 41.505158256776,139.1594,Uttar Pradesh Geo-spatial Directorate,Trimble
50021A001,West Bengal,ALIPURDUAR,ALIP,26,29,57.83515,26 29 57.8351496061893,89,31,45.93883,89 31 45.9388332536368,0.04528,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50022A001,Madhya Pradesh,ALIRAJPUR,ALIR,22,19,1.99131,22 19 1.991309,74,21,27.07499,74 21 27.074986,237.3466,Madhya Pradesh Geo-spatial Directorate,Trimble
50023A001,Telangana,ALLAPALLY,ALLA,17,49,46.95913,17 49 46.9591319803138,80,28,26.49978,80 28 26.4997761713724,111.79531,AndhraPradesh &Telangana Geo-spatial Directorate,Trimble
50024A001,Maharashtra,AMALNER,ANER,21,2,38.4318,21 2 38.4318,75,1,55.20404,75 1 55.20404,155.3109,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50025A001,Madhya Pradesh,AMANGANI,AMAN,24,24,54.3449,24 24 54.3449046101607,80,1,59.66821,80 1 59.6682059995991,256.70552,Madhya Pradesh Geo-spatial Directorate,Trimble
50026A001,Rajasthan,AMARSAGAR,AMAR,26,55,42.6196,26 55 42.619595,70,52,40.09261,70 52 40.092605,211.4627,Rajasthan Geo-spatial Directorate,Trimble
50027A001,Tamilnadu,AMBASAMUTHRAM,AMSM,8,42,10.5894,8 42 10.5893992974558,77,27,24.96914,77 27 24.9691424212998,-16.86288,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50028A001,Tripura,AMBASSA,AMBA,23,54,42.16379055,23 54 42.163790549,91,53,18.51976072,91 53 18.519760719,65.564527,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50029A001,Kerla,AMBLALAPUZHA,AZHA,9,27,30.85741,9 27 30.8574141736519,76,19,58.24573,76 19 58.2457273027846,-86.55532,Kerla & Lakshdweep Wing,Hexagon
50030A001,Himachal Pradesh,AMBUNA,AMBU,31,41,9.40789,31 41 9.40789,76,7,24.3746,76 7 24.3746,450.816,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50031A001,Rajasthan,AMETH,AMET,25,18,27.12624477,25 18 27.1262447744832,73,54,57.0521983,73 54 57.05219829855,560.2888742,Rajasthan Geo-spatial Directorate,Trimble
50032A001,Assam,AMGURI,AMGU,26,48,18.82167164,26 48 18.821671637,94,32,3.463867064,94 32 3.463867064,46.518533,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50033A001, Lakshdweep,AMINI,AMIN,11,7,48.123315,11 7 48.1233147482063,72,43,20.194381,72 43 20.1943811427137,-74.38437,Kerla & Lakshdweep Wing,Hexagon
50034A001,Meghalaya,AMPATI,AMPA,25,27,36.87702975,25 27 36.877029751,89,55,36.0894813,89 55 36.089481302,6.70536,Meghalaya and Arunachal Pradesh Geo-spatial Directorate,Trimble
50035A001,Telangana,AMRABAD,AMRB,16,22,30.81499,16 22 30.8149872001187,78,49,48.18817,78 49 48.1881672109925,505.76219,AndhraPradesh &Telangana Geo-spatial Directorate,Trimble
50036A001,Punjab,AMRITSAR,AMRI,31,38,44.00255,31 38 44.002547,74,51,22.7309,74 51 22.730897,193.5369,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
