gdc_username,east_count,west_count,north_count,south_count,total_images
"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",5,5,4,4,18
Jammu & Kashmir and Ladakh Geo-spatial Directorate,16,15,18,14,63
Maharashtra and Goa Geo-spatial Directorate,55,55,55,55,220
Gujarat Daman & Diu Geo-spatial Directorate,8,8,7,8,31
TMMz Wing,19,0,0,0,19
"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",16,16,16,16,64
Kerala & Lakshdweep Wing,43,46,46,45,180
Madhya Pradesh Geo-spatial Directorate,28,28,28,28,112
Uttar Pradesh Geo-spatial Directorate,31,29,31,30,121
Karnataka Geo-spatial Directorate,33,33,33,33,132
West Bengal & Sikkim Geo-spatial Directorate,37,36,37,37,147
Andhra Pradesh & Telangana Geo-spatial Directorate,35,35,17,5,92
Rajasthan Geo-spatial Directorate,75,74,73,73,295
Assam & Nagaland and TMMz Geo-Spatial Directorate,10,10,10,10,40
Meghalaya and Arunachal Pradesh Geo-spatial Directorate,43,43,43,43,172
Jharkhand & Bihar  GD (Bihar Wing),3,3,3,3,12
Odisha & Chhattishgarh Geo-spatial Directorate,15,15,15,15,60
Jharkhand & Bihar  Geo-spatial Directorate,6,6,6,6,24
Uttarakhand  Geo-spatial Directorate,5,4,5,5,19
Odisha & Chhattisgarh GD (Chhattisgarh Wing),21,21,20,21,83
Delhi Geo-spatial and International Boundary Directorate,0,0,0,0,0
