gdc_username,east_count,west_count,north_count,south_count,total_images
"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",1,1,1,1,4
Kerala & Lakshdweep Wing,1,0,0,0,1
Karnataka Geo-spatial Directorate,0,0,0,0,0
Andhra Pradesh & Telangana Geo-spatial Directorate,0,0,0,0,0
Maharashtra and Goa Geo-spatial Directorate,0,0,0,0,0
Odisha & Chhattisgarh GD (Chhattisgarh Wing),0,0,0,0,0
Gujarat Daman & Diu Geo-spatial Directorate,0,0,0,0,0
Odisha & Chhattishgarh Geo-spatial Directorate,0,0,0,0,0
Madhya Pradesh Geo-spatial Directorate,0,0,0,0,0
Jharkhand & Bihar  Geo-spatial Directorate,2,2,2,2,8
West Bengal & Sikkim Geo-spatial Directorate,0,2,2,2,6
Rajasthan Geo-spatial Directorate,0,0,0,0,0
Uttar Pradesh Geo-spatial Directorate,4,4,4,4,16
Jharkhand & Bihar  GD (Bihar Wing),12,12,11,10,45
Meghalaya and Arunachal Pradesh Geo-spatial Directorate,0,0,0,0,0
"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",2,2,1,1,6
Delhi Geo-spatial and International Boundary Directorate,1,1,1,1,4
Uttarakhand  Geo-spatial Directorate,1,1,1,1,4
,0,0,0,0,0
Assam & Nagaland and TMMz Geo-Spatial Directorate,1,0,0,0,1
