gdc_username,east_count,west_count,north_count,south_count,total_images
Maharashtra and Goa Geo-spatial Directorate,0,0,0,0,0
Delhi Geo-spatial and International Boundary Directorate,5,5,5,5,20
Andhra Pradesh & Telangana Geo-spatial Directorate,4,3,4,3,14
Madhya Pradesh Geo-spatial Directorate,0,0,0,0,0
"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",0,0,0,0,0
Karnataka Geo-spatial Directorate,24,16,8,2,50
"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",5,6,6,6,23
Rajasthan Geo-spatial Directorate,1,1,1,1,4
Gujarat Daman & Diu Geo-spatial Directorate,0,0,0,0,0
Kerala & Lakshdweep Wing,5,5,5,4,19
Assam & Nagaland and TMMz Geo-Spatial Directorate,4,4,4,4,16
West Bengal & Sikkim Geo-spatial Directorate,0,0,0,0,0
Jammu & Kashmir and Ladakh Geo-spatial Directorate,4,4,4,4,16
Uttar Pradesh Geo-spatial Directorate,110,110,107,109,436
Uttarakhand  Geo-spatial Directorate,5,5,5,5,20
Odisha & Chhattishgarh Geo-spatial Directorate,0,0,0,0,0
Jharkhand & Bihar  GD (Bihar Wing),0,0,0,0,0
Odisha & Chhattisgarh GD (Chhattisgarh Wing),4,4,4,4,16
Jharkhand & Bihar  Geo-spatial Directorate,0,0,0,0,0
Meghalaya and Arunachal Pradesh Geo-spatial Directorate,4,4,4,4,16
TMMz Wing,0,0,0,0,0
